epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,250.465,2.06802,2.91932,1.90192,0.40042,0.29819,0.27344,0.10654,2.12221,2.35899,1.89428,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971
2,448.435,2.02726,2.38939,1.82809,0.28501,0.25506,0.18967,0.07215,2.22798,2.61082,2.03447,0.0195934,0.00653112,0.0195934,0.00653112,0.0195934,0.00653112,0.0195934,0.00653112
3,642.165,2.13326,2.51436,1.92424,0.23577,0.18397,0.13353,0.04925,2.39526,2.85551,2.2435,0.0288016,0.00960052,0.0288016,0.00960052,0.0288016,0.00960052,0.0288016,0.00960052
4,826.063,2.15492,2.58514,1.96552,0.31803,0.25453,0.20773,0.07879,2.24416,2.58962,2.11589,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1009.43,2.07279,2.418,1.8957,0.36528,0.29766,0.26024,0.10541,2.1063,2.40194,2.06199,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1193.7,2.03309,2.35439,1.87601,0.38274,0.30485,0.29247,0.12084,2.08011,2.30343,2.00382,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1375.78,1.98174,2.27995,1.83159,0.39641,0.34132,0.3067,0.12851,2.03614,2.25723,1.94851,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1562.39,1.95227,2.21873,1.81303,0.41998,0.35011,0.34036,0.14252,2.01478,2.24828,1.93244,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1745.71,1.92335,2.16668,1.78782,0.43519,0.35197,0.34692,0.14507,1.99588,2.19644,1.93655,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1927.97,1.9138,2.13087,1.78147,0.44232,0.38919,0.36498,0.15452,1.98979,2.11622,1.9316,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2110.33,1.88341,2.09561,1.75635,0.43819,0.37806,0.37289,0.16186,1.99667,2.12749,1.86053,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2293.24,1.86975,2.05475,1.73984,0.46123,0.39377,0.39632,0.17118,1.95155,2.04885,1.84459,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2476.04,1.85442,2.02135,1.72052,0.49926,0.40149,0.42197,0.183,1.94904,1.9946,1.84588,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2657.72,1.84706,1.98537,1.71317,0.47188,0.42066,0.41885,0.18634,1.92547,1.99282,1.83102,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2841.67,1.83161,1.96419,1.70057,0.4975,0.41028,0.4229,0.18779,1.93727,1.96095,1.83945,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3022.77,1.82355,1.94898,1.69267,0.49596,0.42572,0.43987,0.19627,1.90508,1.96118,1.81891,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3204.32,1.80453,1.92003,1.68622,0.50888,0.44675,0.45184,0.19803,1.92053,1.92136,1.8174,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3386.83,1.80479,1.91998,1.69028,0.49902,0.45208,0.45618,0.20603,1.91048,1.89841,1.8264,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3566.17,1.78685,1.88861,1.66864,0.51328,0.45484,0.45875,0.20498,1.90981,1.90834,1.81117,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3747.4,1.77985,1.85482,1.66136,0.52593,0.45545,0.46993,0.21,1.90454,1.87704,1.81885,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3928.7,1.7633,1.8305,1.65543,0.52653,0.45953,0.48291,0.21877,1.89677,1.8478,1.79162,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4107.06,1.74856,1.79635,1.63279,0.53121,0.47275,0.4873,0.22209,1.88736,1.82622,1.77654,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4287.02,1.74407,1.79488,1.64068,0.56186,0.45511,0.49304,0.22677,1.88689,1.80167,1.79701,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4467.14,1.73486,1.75363,1.6195,0.55075,0.47196,0.49255,0.22472,1.87984,1.79814,1.77481,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4645.62,1.73759,1.75914,1.6282,0.55369,0.47577,0.49921,0.22603,1.87205,1.78507,1.76658,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4824.13,1.70982,1.72904,1.60523,0.56792,0.48783,0.51653,0.23427,1.8711,1.76555,1.75995,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5002.88,1.71432,1.70986,1.60367,0.56938,0.47701,0.51533,0.2379,1.87748,1.74782,1.76432,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5182.08,1.70102,1.68083,1.59466,0.55115,0.49822,0.51171,0.23536,1.87982,1.73589,1.76211,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
